,precision,recall,f1-score,support
Class 0,0.9230769230769231,0.5853658536585366,0.7164179104477612,41.0
Class 1,0.7828282828282829,0.7142857142857143,0.7469879518072289,651.0
Class 2,0.7806122448979592,0.7727272727272727,0.7766497461928934,198.0
Class 3,0.6754385964912281,0.8523985239852399,0.7536704730831973,271.0
Class 4,0.8823529411764706,0.7692307692307693,0.821917808219178,39.0
Class 5,0.6808510638297872,0.5161290322580645,0.5871559633027523,62.0
Class 6,0.7352941176470589,0.49019607843137253,0.5882352941176471,51.0
Class 7,0.9230769230769231,0.6942148760330579,0.7924528301886793,121.0
Class 8,0.8888888888888888,0.631578947368421,0.7384615384615385,38.0
Class 9,0.8290598290598291,0.7211895910780669,0.7713717693836978,269.0
Class 10,0.725,0.5370370370370371,0.6170212765957447,54.0
Class 11,0.9446494464944649,0.8338762214983714,0.8858131487889274,307.0
Class 12,0.8034682080924855,0.8176470588235294,0.8104956268221575,170.0
Class 13,0.9556495230602813,0.9712172696382171,0.963370508054523,10006.0
accuracy,0.9288157680403974,0.9288157680403974,0.9288157680403974,0.9288157680403974
macro avg,0.8235890706157559,0.7076495890038336,0.7550015603904232,12278.0
weighted avg,0.9281365257735373,0.9288157680403974,0.9273597316988272,12278.0
Other Species,0.044350476939718754,0.19850352112676056,0.07250221043324492,
